==62368== NVPROF is profiling process 62368, command: D:\software\anaconda3\envs\efficientvit\python.exe -B phase3\scripts\benchmark_plugin_engine.py --weights phase1\weights\efficientvit_seg_b0_cityscapes.pt --input phase1\data\city_asset_cityscapes_like.png --plugin-engine phase3\results\engines\efficientv
==62368== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==62368== Profiling application: D:\software\anaconda3\envs\efficientvit\python.exe -B phase3\scripts\benchmark_plugin_engine.py --weights phase1\weights\efficientvit_seg_b0_cityscapes.pt --input phase1\data\city_asset_cityscapes_like.png --plugin-engine phase3\results\engines\efficientv
==62368== Profiling result:
==62368== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"dram_read_throughput","Device Memory Read Throughput",6.828633GB/s,7.716543GB/s,7.531569GB/s
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"dram_write_throughput","Device Memory Write Throughput",12.373970GB/s,13.946932GB/s,13.615717GB/s
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"dram_utilization","Device Memory Utilization","Mid (4)","Mid (5)","Mid (4)"
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"l2_read_throughput","L2 Throughput (Reads)",21.854841GB/s,24.649758GB/s,24.061360GB/s
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"l2_write_throughput","L2 Throughput (Writes)",12.390544GB/s,13.965186GB/s,13.634970GB/s
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"gld_efficiency","Global Memory Load Efficiency",86.168433%,86.168433%,86.168433%
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"tex_cache_hit_rate","Unified Cache Hit Rate",50.000000%,50.000000%,50.000000%
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",68.351750%,69.068368%,68.651309%
